001  00001 |Loss: 2.313 | Acc: 10.156% 
001  00002 |Loss: 2.305 | Acc: 11.328% 
001  00003 |Loss: 2.305 | Acc: 9.896% 
001  00004 |Loss: 2.302 | Acc: 10.742% 
001  00005 |Loss: 2.300 | Acc: 10.781% 
001  00006 |Loss: 2.300 | Acc: 10.547% 
001  00007 |Loss: 2.299 | Acc: 11.830% 
001  00008 |Loss: 2.297 | Acc: 11.719% 
001  00009 |Loss: 2.297 | Acc: 11.632% 
001  00010 |Loss: 2.297 | Acc: 11.172% 
001  00011 |Loss: 2.298 | Acc: 10.866% 
001  00012 |Loss: 2.300 | Acc: 10.482% 
001  00013 |Loss: 2.299 | Acc: 10.998% 
001  00014 |Loss: 2.299 | Acc: 11.049% 
001  00015 |Loss: 2.299 | Acc: 11.146% 
001  00016 |Loss: 2.297 | Acc: 11.377% 
001  00017 |Loss: 2.295 | Acc: 12.040% 
001  00018 |Loss: 2.292 | Acc: 12.500% 
001  00019 |Loss: 2.289 | Acc: 13.117% 
001  00020 |Loss: 2.287 | Acc: 13.320% 
001  00021 |Loss: 2.284 | Acc: 13.802% 
001  00022 |Loss: 2.280 | Acc: 14.240% 
001  00023 |Loss: 2.277 | Acc: 14.436% 
001  00024 |Loss: 2.271 | Acc: 14.714% 
001  00025 |Loss: 2.265 | Acc: 14.875% 
001  00026 |Loss: 2.257 | Acc: 15.264% 
001  00027 |Loss: 2.250 | Acc: 15.828% 
001  00028 |Loss: 2.243 | Acc: 16.239% 
001  00029 |Loss: 2.234 | Acc: 16.649% 
001  00030 |Loss: 2.224 | Acc: 16.979% 
001  00031 |Loss: 2.215 | Acc: 17.339% 
001  00032 |Loss: 2.204 | Acc: 18.018% 
001  00033 |Loss: 2.195 | Acc: 18.442% 
001  00034 |Loss: 2.188 | Acc: 18.681% 
001  00035 |Loss: 2.178 | Acc: 19.286% 
001  00036 |Loss: 2.168 | Acc: 19.944% 
001  00037 |Loss: 2.158 | Acc: 20.503% 
001  00038 |Loss: 2.147 | Acc: 21.135% 
001  00039 |Loss: 2.137 | Acc: 21.635% 
001  00040 |Loss: 2.124 | Acc: 22.246% 
001  00041 |Loss: 2.111 | Acc: 22.904% 
001  00042 |Loss: 2.100 | Acc: 23.456% 
001  00043 |Loss: 2.087 | Acc: 24.037% 
001  00044 |Loss: 2.070 | Acc: 24.734% 
001  00045 |Loss: 2.059 | Acc: 25.191% 
001  00046 |Loss: 2.042 | Acc: 25.985% 
001  00047 |Loss: 2.026 | Acc: 26.629% 
001  00048 |Loss: 2.013 | Acc: 27.100% 
001  00049 |Loss: 1.999 | Acc: 27.663% 
001  00050 |Loss: 1.984 | Acc: 28.359% 
001  00051 |Loss: 1.967 | Acc: 28.998% 
001  00052 |Loss: 1.951 | Acc: 29.642% 
001  00053 |Loss: 1.938 | Acc: 30.115% 
001  00054 |Loss: 1.924 | Acc: 30.758% 
001  00055 |Loss: 1.909 | Acc: 31.293% 
001  00056 |Loss: 1.895 | Acc: 31.878% 
001  00057 |Loss: 1.882 | Acc: 32.442% 
001  00058 |Loss: 1.870 | Acc: 32.866% 
001  00059 |Loss: 1.855 | Acc: 33.342% 
001  00060 |Loss: 1.845 | Acc: 33.763% 
001  00061 |Loss: 1.831 | Acc: 34.388% 
001  00062 |Loss: 1.817 | Acc: 34.992% 
001  00063 |Loss: 1.803 | Acc: 35.516% 
001  00064 |Loss: 1.790 | Acc: 36.023% 
001  00065 |Loss: 1.776 | Acc: 36.599% 
001  00066 |Loss: 1.762 | Acc: 37.169% 
001  00067 |Loss: 1.750 | Acc: 37.698% 
001  00068 |Loss: 1.736 | Acc: 38.247% 
001  00069 |Loss: 1.722 | Acc: 38.836% 
001  00070 |Loss: 1.711 | Acc: 39.241% 
001  00071 |Loss: 1.697 | Acc: 39.800% 
001  00072 |Loss: 1.683 | Acc: 40.386% 
001  00073 |Loss: 1.669 | Acc: 40.882% 
001  00074 |Loss: 1.655 | Acc: 41.480% 
001  00075 |Loss: 1.644 | Acc: 41.885% 
001  00076 |Loss: 1.631 | Acc: 42.362% 
001  00077 |Loss: 1.619 | Acc: 42.817% 
001  00078 |Loss: 1.608 | Acc: 43.179% 
001  00079 |Loss: 1.598 | Acc: 43.513% 
001  00080 |Loss: 1.586 | Acc: 43.994% 
001  00081 |Loss: 1.573 | Acc: 44.483% 
001  00082 |Loss: 1.562 | Acc: 44.950% 
001  00083 |Loss: 1.550 | Acc: 45.388% 
001  00084 |Loss: 1.539 | Acc: 45.796% 
001  00085 |Loss: 1.528 | Acc: 46.250% 
001  00086 |Loss: 1.517 | Acc: 46.675% 
001  00087 |Loss: 1.505 | Acc: 47.135% 
001  00088 |Loss: 1.494 | Acc: 47.594% 
001  00089 |Loss: 1.484 | Acc: 48.016% 
001  00090 |Loss: 1.475 | Acc: 48.411% 
001  00091 |Loss: 1.465 | Acc: 48.747% 
001  00092 |Loss: 1.456 | Acc: 49.108% 
001  00093 |Loss: 1.447 | Acc: 49.471% 
001  00094 |Loss: 1.437 | Acc: 49.784% 
001  00095 |Loss: 1.427 | Acc: 50.164% 
001  00096 |Loss: 1.418 | Acc: 50.505% 
001  00097 |Loss: 1.410 | Acc: 50.822% 
001  00098 |Loss: 1.400 | Acc: 51.204% 
001  00099 |Loss: 1.392 | Acc: 51.507% 
001  00100 |Loss: 1.382 | Acc: 51.891% 
001  00101 |Loss: 1.374 | Acc: 52.205% 
001  00102 |Loss: 1.366 | Acc: 52.543% 
001  00103 |Loss: 1.357 | Acc: 52.882% 
