001  00001 |Loss: 2.490 | Acc: 10.156% 
001  00002 |Loss: 2.868 | Acc: 10.547% 
001  00003 |Loss: 2.755 | Acc: 13.281% 
001  00004 |Loss: 2.691 | Acc: 13.477% 
001  00005 |Loss: 2.741 | Acc: 14.688% 
001  00006 |Loss: 2.707 | Acc: 14.714% 
001  00007 |Loss: 2.645 | Acc: 15.402% 
001  00008 |Loss: 2.577 | Acc: 16.406% 
001  00009 |Loss: 2.525 | Acc: 16.667% 
001  00010 |Loss: 2.475 | Acc: 18.359% 
001  00011 |Loss: 2.429 | Acc: 19.105% 
001  00012 |Loss: 2.384 | Acc: 19.727% 
001  00013 |Loss: 2.365 | Acc: 19.832% 
001  00014 |Loss: 2.335 | Acc: 20.201% 
001  00015 |Loss: 2.309 | Acc: 20.417% 
001  00016 |Loss: 2.290 | Acc: 20.703% 
001  00017 |Loss: 2.268 | Acc: 21.094% 
001  00018 |Loss: 2.252 | Acc: 21.615% 
001  00019 |Loss: 2.227 | Acc: 21.916% 
001  00020 |Loss: 2.212 | Acc: 22.422% 
001  00021 |Loss: 2.196 | Acc: 22.991% 
001  00022 |Loss: 2.178 | Acc: 23.509% 
001  00023 |Loss: 2.159 | Acc: 23.947% 
001  00024 |Loss: 2.150 | Acc: 24.154% 
001  00025 |Loss: 2.140 | Acc: 24.406% 
001  00026 |Loss: 2.125 | Acc: 24.790% 
001  00027 |Loss: 2.123 | Acc: 24.595% 
001  00028 |Loss: 2.111 | Acc: 25.000% 
001  00029 |Loss: 2.100 | Acc: 25.162% 
001  00030 |Loss: 2.089 | Acc: 25.443% 
001  00031 |Loss: 2.081 | Acc: 25.756% 
001  00032 |Loss: 2.072 | Acc: 25.977% 
001  00033 |Loss: 2.064 | Acc: 26.231% 
001  00034 |Loss: 2.057 | Acc: 26.494% 
001  00035 |Loss: 2.049 | Acc: 26.696% 
001  00036 |Loss: 2.042 | Acc: 26.823% 
001  00037 |Loss: 2.033 | Acc: 27.069% 
001  00038 |Loss: 2.029 | Acc: 27.220% 
001  00039 |Loss: 2.025 | Acc: 27.324% 
001  00040 |Loss: 2.020 | Acc: 27.500% 
001  00041 |Loss: 2.012 | Acc: 27.668% 
001  00042 |Loss: 2.006 | Acc: 27.734% 
001  00043 |Loss: 1.997 | Acc: 27.907% 
001  00044 |Loss: 1.993 | Acc: 28.054% 
001  00045 |Loss: 1.990 | Acc: 28.212% 
001  00046 |Loss: 1.984 | Acc: 28.380% 
001  00047 |Loss: 1.979 | Acc: 28.657% 
001  00048 |Loss: 1.977 | Acc: 28.597% 
001  00049 |Loss: 1.974 | Acc: 28.667% 
001  00050 |Loss: 1.970 | Acc: 28.812% 
001  00051 |Loss: 1.965 | Acc: 28.937% 
001  00052 |Loss: 1.960 | Acc: 29.147% 
001  00053 |Loss: 1.957 | Acc: 29.275% 
001  00054 |Loss: 1.953 | Acc: 29.369% 
001  00055 |Loss: 1.946 | Acc: 29.602% 
001  00056 |Loss: 1.944 | Acc: 29.604% 
001  00057 |Loss: 1.941 | Acc: 29.619% 
001  00058 |Loss: 1.934 | Acc: 29.863% 
001  00059 |Loss: 1.930 | Acc: 30.005% 
001  00060 |Loss: 1.927 | Acc: 30.130% 
001  00061 |Loss: 1.924 | Acc: 30.161% 
001  00062 |Loss: 1.920 | Acc: 30.280% 
001  00063 |Loss: 1.915 | Acc: 30.469% 
001  00064 |Loss: 1.911 | Acc: 30.664% 
001  00065 |Loss: 1.909 | Acc: 30.745% 
001  00066 |Loss: 1.907 | Acc: 30.883% 
001  00067 |Loss: 1.904 | Acc: 30.900% 
001  00068 |Loss: 1.900 | Acc: 30.963% 
001  00069 |Loss: 1.896 | Acc: 31.012% 
001  00070 |Loss: 1.889 | Acc: 31.295% 
001  00071 |Loss: 1.886 | Acc: 31.316% 
001  00072 |Loss: 1.882 | Acc: 31.434% 
001  00073 |Loss: 1.879 | Acc: 31.582% 
001  00074 |Loss: 1.877 | Acc: 31.620% 
001  00075 |Loss: 1.873 | Acc: 31.771% 
001  00076 |Loss: 1.872 | Acc: 31.754% 
001  00077 |Loss: 1.869 | Acc: 31.808% 
